TimeControl	Rating	A	B	C	D	E	gameCount.sum
Blitz	0600	0.3317	0.1989	0.3507	0.1106	0.0005	33479.0000	
Blitz	0650	0.3040	0.1982	0.3784	0.1140	0.0007	121055.0000	
Blitz	0700	0.2863	0.1970	0.3957	0.1162	0.0011	285384.0000	
Blitz	0750	0.2663	0.2003	0.4093	0.1196	0.0013	642578.0000	
Blitz	0800	0.2484	0.2045	0.4216	0.1215	0.0021	2010277.0000	
Blitz	0850	0.2311	0.2090	0.4313	0.1246	0.0023	3964563.0000	
Blitz	0900	0.2190	0.2127	0.4372	0.1270	0.0025	6332127.0000	
Blitz	0950	0.2090	0.2166	0.4404	0.1295	0.0029	8973815.0000	
Blitz	1000	0.2020	0.2195	0.4413	0.1321	0.0033	12044349.0000	
Blitz	1050	0.1965	0.2219	0.4420	0.1337	0.0039	15081429.0000	
Blitz	1100	0.1927	0.2236	0.4422	0.1347	0.0047	18198543.0000	
Blitz	1150	0.1903	0.2254	0.4411	0.1353	0.0055	21649501.0000	
Blitz	1200	0.1889	0.2282	0.4374	0.1363	0.0065	25331866.0000	
Blitz	1250	0.1897	0.2328	0.4302	0.1368	0.0077	29053184.0000	
Blitz	1300	0.1922	0.2389	0.4205	0.1364	0.0089	33161415.0000	
Blitz	1350	0.1945	0.2456	0.4097	0.1366	0.0102	36872443.0000	
Blitz	1400	0.1976	0.2533	0.3976	0.1364	0.0116	39859841.0000	
Blitz	1450	0.2015	0.2614	0.3844	0.1363	0.0129	42998033.0000	
Blitz	1500	0.2060	0.2704	0.3689	0.1365	0.0144	46507270.0000	
Blitz	1550	0.2096	0.2810	0.3523	0.1373	0.0161	48607101.0000	
Blitz	1600	0.2140	0.2911	0.3354	0.1379	0.0178	49444915.0000	
Blitz	1650	0.2186	0.3010	0.3188	0.1381	0.0198	49926248.0000	
Blitz	1700	0.2235	0.3103	0.3016	0.1387	0.0221	49420420.0000	
Blitz	1750	0.2295	0.3189	0.2842	0.1392	0.0244	48897744.0000	
Blitz	1800	0.2357	0.3267	0.2680	0.1388	0.0270	46249817.0000	
Blitz	1850	0.2418	0.3332	0.2535	0.1380	0.0299	43271690.0000	
Blitz	1900	0.2499	0.3373	0.2386	0.1373	0.0335	38344569.0000	
Blitz	1950	0.2586	0.3411	0.2238	0.1362	0.0372	33544484.0000	
Blitz	2000	0.2683	0.3445	0.2084	0.1345	0.0414	27788671.0000	
Blitz	2050	0.2790	0.3448	0.1940	0.1340	0.0457	22978868.0000	
Blitz	2100	0.2890	0.3431	0.1813	0.1335	0.0507	17905341.0000	
Blitz	2150	0.2981	0.3404	0.1706	0.1328	0.0560	13549248.0000	
Blitz	2200	0.3051	0.3351	0.1621	0.1336	0.0623	9843581.0000	
Blitz	2250	0.3098	0.3300	0.1555	0.1345	0.0685	6935240.0000	
Blitz	2300	0.3123	0.3251	0.1520	0.1351	0.0740	4801333.0000	
Blitz	2350	0.3127	0.3199	0.1498	0.1371	0.0793	3165370.0000	
Blitz	2400	0.3115	0.3156	0.1503	0.1385	0.0830	2038948.0000	
Blitz	2450	0.3112	0.3108	0.1494	0.1411	0.0865	1228844.0000	
Blitz	2500	0.3158	0.3039	0.1465	0.1431	0.0898	704488.0000	
Blitz	2550	0.3162	0.3036	0.1442	0.1457	0.0894	397883.0000	
Blitz	2600	0.3123	0.3052	0.1459	0.1454	0.0903	204307.0000	
Blitz	2650	0.2992	0.3082	0.1514	0.1431	0.0971	100465.0000	
Blitz	2700	0.2980	0.3034	0.1512	0.1442	0.1025	42508.0000	
Blitz	2750	0.2840	0.3246	0.1488	0.1398	0.1024	13102.0000	
Blitz	2800	0.2809	0.3122	0.1625	0.1510	0.0928	3040.0000	
Blitz	2850	0.3024	0.2714	0.1519	0.1976	0.0767	678.0000	
Blitz	2900	0.4235	0.1294	0.0824	0.2588	0.1059	85.0000	
Blitz	2950	0.3333	0.2778	0.1481	0.1111	0.1296	54.0000	
Bullet	0600	0.4237	0.2006	0.2782	0.0954	0.0005	21432.0000	
Bullet	0650	0.3765	0.2043	0.3178	0.0996	0.0006	70714.0000	
Bullet	0700	0.3446	0.2032	0.3484	0.1014	0.0012	149200.0000	
Bullet	0750	0.3109	0.2033	0.3761	0.1072	0.0013	322555.0000	
Bullet	0800	0.2838	0.2095	0.3883	0.1152	0.0025	893521.0000	
Bullet	0850	0.2667	0.2142	0.3963	0.1189	0.0031	1814532.0000	
Bullet	0900	0.2555	0.2186	0.3976	0.1240	0.0037	3118798.0000	
Bullet	0950	0.2476	0.2233	0.3967	0.1273	0.0043	4628025.0000	
Bullet	1000	0.2435	0.2296	0.3914	0.1296	0.0051	6443325.0000	
Bullet	1050	0.2439	0.2361	0.3828	0.1305	0.0059	8240481.0000	
Bullet	1100	0.2457	0.2416	0.3741	0.1307	0.0069	10059693.0000	
Bullet	1150	0.2483	0.2468	0.3648	0.1310	0.0080	12166607.0000	
Bullet	1200	0.2523	0.2536	0.3530	0.1307	0.0091	14456707.0000	
Bullet	1250	0.2582	0.2605	0.3395	0.1301	0.0103	16823068.0000	
Bullet	1300	0.2657	0.2671	0.3241	0.1300	0.0114	19495921.0000	
Bullet	1350	0.2747	0.2737	0.3076	0.1297	0.0126	21923119.0000	
Bullet	1400	0.2826	0.2803	0.2928	0.1289	0.0136	24090362.0000	
Bullet	1450	0.2913	0.2865	0.2784	0.1276	0.0145	26743055.0000	
Bullet	1500	0.3010	0.2917	0.2624	0.1275	0.0155	29721275.0000	
Bullet	1550	0.3113	0.2975	0.2449	0.1277	0.0167	31568977.0000	
Bullet	1600	0.3224	0.3013	0.2295	0.1272	0.0177	32904007.0000	
Bullet	1650	0.3337	0.3038	0.2148	0.1269	0.0188	33944781.0000	
Bullet	1700	0.3462	0.3052	0.2005	0.1262	0.0199	34219529.0000	
Bullet	1750	0.3585	0.3051	0.1886	0.1249	0.0210	34267342.0000	
Bullet	1800	0.3701	0.3046	0.1777	0.1234	0.0223	32803392.0000	
Bullet	1850	0.3820	0.3032	0.1677	0.1218	0.0234	31227662.0000	
Bullet	1900	0.3947	0.3017	0.1584	0.1191	0.0243	28601806.0000	
Bullet	1950	0.4061	0.2999	0.1502	0.1166	0.0256	25787677.0000	
Bullet	2000	0.4183	0.2974	0.1421	0.1138	0.0269	22094495.0000	
Bullet	2050	0.4306	0.2945	0.1329	0.1123	0.0284	18883334.0000	
Bullet	2100	0.4434	0.2896	0.1254	0.1103	0.0301	15507156.0000	
Bullet	2150	0.4528	0.2864	0.1198	0.1080	0.0318	12392376.0000	
Bullet	2200	0.4602	0.2837	0.1147	0.1067	0.0336	9593290.0000	
Bullet	2250	0.4696	0.2793	0.1096	0.1049	0.0357	7219785.0000	
Bullet	2300	0.4808	0.2746	0.1039	0.1027	0.0372	5400705.0000	
Bullet	2350	0.4916	0.2696	0.0995	0.1000	0.0385	3830943.0000	
Bullet	2400	0.4958	0.2673	0.0978	0.0992	0.0392	2740824.0000	
Bullet	2450	0.4972	0.2688	0.0960	0.0971	0.0402	1898403.0000	
Bullet	2500	0.4977	0.2675	0.0961	0.0963	0.0418	1311540.0000	
Bullet	2550	0.4966	0.2673	0.0956	0.0955	0.0445	912775.0000	
Bullet	2600	0.4939	0.2702	0.0948	0.0936	0.0470	625745.0000	
Bullet	2650	0.4935	0.2750	0.0937	0.0897	0.0476	418070.0000	
Bullet	2700	0.4923	0.2798	0.0891	0.0895	0.0488	267024.0000	
Bullet	2750	0.5023	0.2795	0.0810	0.0875	0.0494	162675.0000	
Bullet	2800	0.5102	0.2717	0.0776	0.0911	0.0491	95205.0000	
Bullet	2850	0.5021	0.2680	0.0858	0.0953	0.0486	52814.0000	
Bullet	2900	0.4683	0.2689	0.1012	0.1087	0.0526	25662.0000	
Bullet	2950	0.4323	0.2958	0.1106	0.1125	0.0486	11719.0000	
Bullet	3000	0.2500	0.2778	0.1667	0.1296	0.1759	108.0000	
Classical	0600	0.4400	0.2000	0.2400	0.0800	0.0000	50.0000	
Classical	0650	0.3156	0.1967	0.3115	0.1352	0.0000	244.0000	
Classical	0700	0.3655	0.1932	0.3322	0.0874	0.0058	1201.0000	
Classical	0750	0.3100	0.1970	0.3781	0.1049	0.0038	4777.0000	
Classical	0800	0.2939	0.1964	0.4016	0.1030	0.0037	48542.0000	
Classical	0850	0.2756	0.1993	0.4191	0.1017	0.0035	152072.0000	
Classical	0900	0.2593	0.1995	0.4327	0.1048	0.0030	321097.0000	
Classical	0950	0.2440	0.2006	0.4440	0.1079	0.0029	522105.0000	
Classical	1000	0.2300	0.2031	0.4513	0.1125	0.0025	757986.0000	
Classical	1050	0.2172	0.2060	0.4568	0.1169	0.0026	1004479.0000	
Classical	1100	0.2060	0.2088	0.4621	0.1197	0.0026	1266375.0000	
Classical	1150	0.1945	0.2120	0.4677	0.1221	0.0027	1552997.0000	
Classical	1200	0.1855	0.2130	0.4727	0.1247	0.0031	1846413.0000	
Classical	1250	0.1790	0.2143	0.4739	0.1281	0.0036	2121747.0000	
Classical	1300	0.1747	0.2162	0.4735	0.1302	0.0042	2457312.0000	
Classical	1350	0.1697	0.2173	0.4735	0.1330	0.0050	2618805.0000	
Classical	1400	0.1662	0.2202	0.4711	0.1348	0.0061	2774247.0000	
Classical	1450	0.1698	0.2253	0.4606	0.1354	0.0075	3115544.0000	
Classical	1500	0.1745	0.2305	0.4479	0.1363	0.0092	3456907.0000	
Classical	1550	0.1640	0.2379	0.4469	0.1382	0.0114	2996229.0000	
Classical	1600	0.1654	0.2474	0.4323	0.1394	0.0138	2791925.0000	
Classical	1650	0.1685	0.2582	0.4140	0.1403	0.0171	2566330.0000	
Classical	1700	0.1726	0.2693	0.3938	0.1416	0.0208	2203692.0000	
Classical	1750	0.1765	0.2822	0.3714	0.1428	0.0252	1849711.0000	
Classical	1800	0.1794	0.2965	0.3495	0.1429	0.0299	1502404.0000	
Classical	1850	0.1819	0.3091	0.3293	0.1431	0.0349	1174520.0000	
Classical	1900	0.1881	0.3186	0.3068	0.1446	0.0402	870646.0000	
Classical	1950	0.1946	0.3251	0.2840	0.1478	0.0470	611897.0000	
Classical	2000	0.2040	0.3314	0.2612	0.1478	0.0541	399549.0000	
Classical	2050	0.2119	0.3351	0.2425	0.1486	0.0605	249753.0000	
Classical	2100	0.2250	0.3323	0.2236	0.1506	0.0670	142278.0000	
Classical	2150	0.2418	0.3252	0.2070	0.1529	0.0719	77761.0000	
Classical	2200	0.2450	0.3254	0.2001	0.1511	0.0770	40743.0000	
Classical	2250	0.2509	0.3167	0.1970	0.1535	0.0805	19358.0000	
Classical	2300	0.2610	0.3071	0.1924	0.1562	0.0823	8045.0000	
Classical	2350	0.2459	0.3189	0.1917	0.1591	0.0824	3192.0000	
Classical	2400	0.2478	0.2878	0.2137	0.1678	0.0829	1025.0000	
Classical	2450	0.3025	0.2997	0.1709	0.1457	0.0784	357.0000	
Classical	2500	0.2222	0.2593	0.2500	0.1481	0.1204	108.0000	
Classical	2550	0.1707	0.2927	0.2683	0.2195	0.0488	41.0000	
Classical	2600	0.2500	0.3333	0.2500	0.1667	0.0000	12.0000	
Classical	2650	1.0000	0.0000	0.0000	0.0000	0.0000	1.0000	
Classical	2700	0.0000	0.0000	0.6667	0.0000	0.3333	3.0000	
Correspondence	0600	1.0000	0.0000	0.0000	0.0000	0.0000	1.0000	
Correspondence	0650	0.5000	0.0000	0.2500	0.0000	0.0000	4.0000	
Correspondence	0700	0.3333	0.3333	0.3333	0.0000	0.0000	3.0000	
Correspondence	0750	0.2174	0.1739	0.3478	0.0435	0.0000	23.0000	
Correspondence	0800	0.4938	0.1975	0.1852	0.0494	0.0000	81.0000	
Correspondence	0850	0.4712	0.0673	0.2692	0.1106	0.0000	208.0000	
Correspondence	0900	0.4267	0.1562	0.2590	0.0800	0.0019	525.0000	
Correspondence	0950	0.4160	0.1639	0.2692	0.0824	0.0024	1226.0000	
Correspondence	1000	0.4401	0.1447	0.2694	0.0765	0.0022	1804.0000	
Correspondence	1050	0.3613	0.1769	0.3016	0.0895	0.0048	3319.0000	
Correspondence	1100	0.3107	0.1912	0.3258	0.1052	0.0028	6359.0000	
Correspondence	1150	0.2978	0.2022	0.3275	0.1055	0.0035	12846.0000	
Correspondence	1200	0.2812	0.2097	0.3312	0.1054	0.0068	25181.0000	
Correspondence	1250	0.2630	0.2089	0.3433	0.1144	0.0044	49666.0000	
Correspondence	1300	0.2595	0.2113	0.3510	0.1188	0.0060	95895.0000	
Correspondence	1350	0.2482	0.2112	0.3571	0.1230	0.0069	165354.0000	
Correspondence	1400	0.2443	0.2206	0.3555	0.1206	0.0069	258284.0000	
Correspondence	1450	0.2790	0.2166	0.3486	0.1206	0.0066	762456.0000	
Correspondence	1500	0.2541	0.2272	0.3379	0.1175	0.0087	760234.0000	
Correspondence	1550	0.2194	0.2383	0.3495	0.1333	0.0116	453235.0000	
Correspondence	1600	0.2142	0.2438	0.3439	0.1374	0.0147	392903.0000	
Correspondence	1650	0.2036	0.2578	0.3311	0.1465	0.0190	315170.0000	
Correspondence	1700	0.2023	0.2645	0.3185	0.1501	0.0248	252476.0000	
Correspondence	1750	0.2044	0.2725	0.3005	0.1631	0.0319	199845.0000	
Correspondence	1800	0.2115	0.2816	0.2771	0.1679	0.0402	164531.0000	
Correspondence	1850	0.2193	0.2882	0.2647	0.1626	0.0473	129896.0000	
Correspondence	1900	0.2304	0.2947	0.2488	0.1541	0.0549	99550.0000	
Correspondence	1950	0.2452	0.2922	0.2359	0.1484	0.0606	76981.0000	
Correspondence	2000	0.2475	0.2894	0.2261	0.1510	0.0685	56473.0000	
Correspondence	2050	0.2452	0.2969	0.2106	0.1547	0.0727	40399.0000	
Correspondence	2100	0.2449	0.2914	0.2086	0.1549	0.0810	27387.0000	
Correspondence	2150	0.2490	0.2844	0.1996	0.1551	0.0901	16395.0000	
Correspondence	2200	0.2470	0.2815	0.2032	0.1556	0.0906	9126.0000	
Correspondence	2250	0.2465	0.2915	0.1926	0.1398	0.0953	5550.0000	
Correspondence	2300	0.2534	0.2776	0.1954	0.1516	0.0812	3311.0000	
Correspondence	2350	0.2269	0.2965	0.2084	0.1339	0.0804	2226.0000	
Correspondence	2400	0.1886	0.3137	0.2207	0.1153	0.1037	1119.0000	
Correspondence	2450	0.1828	0.2925	0.1773	0.1463	0.1444	547.0000	
Correspondence	2500	0.1667	0.2589	0.1383	0.1596	0.1028	282.0000	
Correspondence	2550	0.1948	0.2208	0.2208	0.1688	0.1818	77.0000	
Correspondence	2600	0.3103	0.2931	0.2241	0.0862	0.0862	58.0000	
Correspondence	2650	0.2917	0.2292	0.2083	0.1250	0.1458	48.0000	
Correspondence	2700	0.2143	0.2857	0.2143	0.1071	0.1429	28.0000	
Correspondence	2750	0.1250	0.0000	0.7500	0.0000	0.1250	8.0000	
Rapid	0600	0.3455	0.1685	0.3250	0.1441	0.0003	3311.0000	
Rapid	0650	0.3183	0.1808	0.3547	0.1358	0.0006	13778.0000	
Rapid	0700	0.2974	0.1808	0.3841	0.1291	0.0006	38864.0000	
Rapid	0750	0.2747	0.1841	0.4105	0.1238	0.0008	98417.0000	
Rapid	0800	0.2597	0.1909	0.4281	0.1160	0.0016	340007.0000	
Rapid	0850	0.2437	0.1948	0.4410	0.1162	0.0017	801705.0000	
Rapid	0900	0.2290	0.1997	0.4494	0.1176	0.0018	1491443.0000	
Rapid	0950	0.2169	0.2030	0.4557	0.1199	0.0019	2353285.0000	
Rapid	1000	0.2058	0.2061	0.4614	0.1219	0.0021	3427505.0000	
Rapid	1050	0.1965	0.2095	0.4654	0.1234	0.0023	4574600.0000	
Rapid	1100	0.1890	0.2113	0.4696	0.1245	0.0026	5861320.0000	
Rapid	1150	0.1817	0.2119	0.4744	0.1260	0.0028	7372587.0000	
Rapid	1200	0.1760	0.2124	0.4781	0.1269	0.0033	9057068.0000	
Rapid	1250	0.1724	0.2122	0.4799	0.1282	0.0038	10816207.0000	
Rapid	1300	0.1699	0.2138	0.4794	0.1287	0.0044	12918893.0000	
Rapid	1350	0.1681	0.2165	0.4769	0.1295	0.0052	14718099.0000	
Rapid	1400	0.1671	0.2207	0.4722	0.1302	0.0061	16320489.0000	
Rapid	1450	0.1679	0.2254	0.4645	0.1316	0.0072	17948909.0000	
Rapid	1500	0.1699	0.2314	0.4540	0.1327	0.0084	19369222.0000	
Rapid	1550	0.1697	0.2393	0.4435	0.1343	0.0099	19252173.0000	
Rapid	1600	0.1724	0.2490	0.4281	0.1355	0.0117	18887341.0000	
Rapid	1650	0.1752	0.2606	0.4106	0.1367	0.0137	18097029.0000	
Rapid	1700	0.1794	0.2726	0.3915	0.1374	0.0160	16670442.0000	
Rapid	1750	0.1846	0.2841	0.3705	0.1388	0.0188	15075193.0000	
Rapid	1800	0.1897	0.2956	0.3498	0.1401	0.0217	13038920.0000	
Rapid	1850	0.1947	0.3077	0.3296	0.1400	0.0250	10885636.0000	
Rapid	1900	0.1996	0.3186	0.3101	0.1401	0.0289	8554728.0000	
Rapid	1950	0.2057	0.3282	0.2900	0.1404	0.0331	6344270.0000	
Rapid	2000	0.2122	0.3380	0.2697	0.1391	0.0386	4412175.0000	
Rapid	2050	0.2198	0.3434	0.2519	0.1381	0.0447	2941867.0000	
Rapid	2100	0.2268	0.3467	0.2358	0.1370	0.0518	1826384.0000	
Rapid	2150	0.2375	0.3437	0.2221	0.1360	0.0592	1057118.0000	
Rapid	2200	0.2509	0.3397	0.2073	0.1360	0.0647	585940.0000	
Rapid	2250	0.2625	0.3314	0.1976	0.1368	0.0707	304586.0000	
Rapid	2300	0.2636	0.3266	0.1940	0.1396	0.0751	147928.0000	
Rapid	2350	0.2597	0.3201	0.1957	0.1448	0.0789	66802.0000	
Rapid	2400	0.2554	0.3152	0.1914	0.1531	0.0841	26377.0000	
Rapid	2450	0.2474	0.3101	0.1978	0.1573	0.0862	9199.0000	
Rapid	2500	0.2380	0.3036	0.2049	0.1633	0.0885	2928.0000	
Rapid	2550	0.2315	0.3290	0.2277	0.1434	0.0656	1067.0000	
Rapid	2600	0.1608	0.3801	0.2281	0.1520	0.0731	342.0000	
Rapid	2650	0.1784	0.3333	0.3099	0.1502	0.0282	213.0000	
Rapid	2700	0.1579	0.2368	0.4474	0.1316	0.0263	76.0000	
Rapid	2750	0.0385	0.2308	0.5000	0.1923	0.0385	26.0000	
Rapid	2800	0.1500	0.4500	0.3500	0.0500	0.0000	20.0000	
Rapid	2850	0.5000	0.0000	0.0000	0.5000	0.0000	4.0000	
Rapid	2900	0.2500	0.0000	0.7500	0.0000	0.0000	4.0000	
Rapid	2950	0.2500	0.2500	0.5000	0.0000	0.0000	4.0000	
UltraBullet	0600	0.3770	0.2951	0.3115	0.0164	0.0000	61.0000	
UltraBullet	0650	0.4000	0.2205	0.3231	0.0359	0.0000	195.0000	
UltraBullet	0700	0.4219	0.2148	0.2957	0.0487	0.0000	903.0000	
UltraBullet	0750	0.3905	0.2037	0.3272	0.0543	0.0008	2543.0000	
UltraBullet	0800	0.3956	0.2197	0.3094	0.0518	0.0007	6085.0000	
UltraBullet	0850	0.3966	0.2120	0.3189	0.0527	0.0007	12626.0000	
UltraBullet	0900	0.3838	0.2116	0.3330	0.0521	0.0008	26142.0000	
UltraBullet	0950	0.3843	0.2122	0.3312	0.0522	0.0015	49732.0000	
UltraBullet	1000	0.3859	0.2133	0.3345	0.0483	0.0018	91824.0000	
UltraBullet	1050	0.3857	0.2163	0.3324	0.0481	0.0025	153310.0000	
UltraBullet	1100	0.3980	0.2190	0.3184	0.0483	0.0026	244406.0000	
UltraBullet	1150	0.4126	0.2208	0.3044	0.0467	0.0031	362011.0000	
UltraBullet	1200	0.4290	0.2214	0.2877	0.0474	0.0033	514321.0000	
UltraBullet	1250	0.4480	0.2205	0.2699	0.0477	0.0038	700306.0000	
UltraBullet	1300	0.4678	0.2211	0.2483	0.0492	0.0047	908339.0000	
UltraBullet	1350	0.4921	0.2195	0.2245	0.0501	0.0057	1118376.0000	
UltraBullet	1400	0.5141	0.2178	0.2025	0.0513	0.0068	1330997.0000	
UltraBullet	1450	0.5349	0.2147	0.1832	0.0525	0.0079	1535396.0000	
UltraBullet	1500	0.5579	0.2099	0.1630	0.0532	0.0090	1668383.0000	
UltraBullet	1550	0.5869	0.2036	0.1421	0.0525	0.0093	1726215.0000	
UltraBullet	1600	0.6058	0.1994	0.1266	0.0529	0.0099	1752920.0000	
UltraBullet	1650	0.6221	0.1944	0.1149	0.0533	0.0104	1720908.0000	
UltraBullet	1700	0.6380	0.1897	0.1038	0.0535	0.0106	1651283.0000	
UltraBullet	1750	0.6507	0.1840	0.0955	0.0544	0.0113	1537876.0000	
UltraBullet	1800	0.6619	0.1805	0.0876	0.0550	0.0113	1394124.0000	
UltraBullet	1850	0.6713	0.1771	0.0817	0.0549	0.0116	1202656.0000	
UltraBullet	1900	0.6800	0.1723	0.0773	0.0560	0.0113	1017663.0000	
UltraBullet	1950	0.6855	0.1705	0.0751	0.0559	0.0102	839460.0000	
UltraBullet	2000	0.6946	0.1635	0.0730	0.0570	0.0096	680975.0000	
UltraBullet	2050	0.6997	0.1597	0.0715	0.0586	0.0087	528794.0000	
